,Neighborhood,House Value,Median Rent,POPULATION_2010,PCT_WHITE,DENVER_REGION,% Slower Rush Hour Drive AM-to-Downtown,Transit % Slower AM-to-Downtown,% Slower Rush Hour Drive PM-from-Downtown,Transit % Slower PM-from-Downtown,% Slower Rush Hour Drive AM-to-DU,Transit % Slower AM-to-DU,% Slower Rush Hour Drive PM-from-DU,Transit % Slower PM-from-DU,% Slower Rush Hour Drive AM-to-DTC,Transit % Slower AM-to-DTC,% Slower Rush Hour Drive PM-from-DTC,Transit % Slower PM-from-DTC,% Slower Rush Hour Drive AM-to-CU-Boulder,Transit % Slower AM-to-CU-Boulder,% Slower Rush Hour Drive PM-from-CU-Boulder,Transit % Slower PM-from-CU-Boulder,Average % Slower Rush Hour Drive,Average Transit % Slower
0,Montbello,174000,1854,30348,8.17,Northeast,91.23076923,84.23169751,87.26625111,97.66999524,58.13656669,118.5230024,50.79255686,145.6124314,49.22509225,124.7279921,36.72456576,220.9316394,69.95537928,100.4084014,47.54176611,106.5998059,61.35911841,124.8381207
1,Gateway - Green Valley Ranch,208600,1951,29201,23.98,Northeast,82.77634961,44.4092827,77.70419426,94.69979296,63.37943476,113.249908,48.03680982,148.9846664,56.44383184,200.3524229,35.87896254,205.3552492,16.80900621,102.5922233,4.31547619,149.1797432,48.16800815,132.3529111
2,Hampden,297900,2138,17547,66.96,Southeast,56.15972812,66.43090316,44.53900709,45.14229637,29.08415842,179.4822627,44.60431655,121.641791,9.702660407,107.5606277,18.16745656,108.2887701,47.74990044,106.2803235,51.10602593,59.11155982,37.63915669,99.24231678
3,Westwood,152600,1675,15486,11.39,West,38.95274585,97.79411765,12.09039548,137.8024194,16.45101664,108.968254,10.6324473,160.9776305,88.41166937,87.31182796,75.33432392,93.1779661,39.91497402,101.4179608,39.92901508,94.22954978,40.21457346,110.2099658
4,Capitol Hill,197600,1534,14708,78.56,Central,5.080831409,72.08791209,13.85281385,123.1939163,21.66105499,102.6752768,19.89795918,159.9148936,52.433281,84.91246138,38.05855162,105.9709821,36.31653321,46.64823773,39.24107143,43.44341135,28.31776209,92.35588643
5,Hampden South,323400,2136,14370,72.44,Southeast,50.73720729,78.02071346,45.22431259,52.36671649,30.02512563,117.3913043,44.8574969,121.471343,0.209205021,305.8455115,13.64522417,213.8936535,45.99919582,93.1148444,51.69622205,62.18551461,35.29924868,130.5362002
6,Mar Lee,180100,1802,12452,24.21,West,29.8,86.05546995,29.33467742,85.11301637,19.66292135,113.8028169,13.11659193,146.6798811,35.15815085,84.20342034,52.93276109,82.08606174,14.59403905,102.4215247,17.10339943,95.978228,26.46281764,99.54255238
7,Windsor,118300,1414,12589,54.84,East,22.70773639,86.2813777,24.65838509,85.1021425,21.25317528,190.0139665,37.6443418,75.05592841,7.376425856,203.0453258,16.74174174,130.6109325,51.76424971,97.03628002,51.72283226,65.68505116,29.23361102,116.6038756
8,Five Points,336900,2154,12712,56.95,North,5.882352941,55.18518519,10.46025105,31.06060606,26.79127726,57.98525799,38.80484115,60.76294278,45.83083383,51.70711641,48.28478964,63.3347883,44.13529733,46.82059046,29.02401635,71.04950495,31.15170744,54.73824902
9,Virginia Village,309000,2143,12844,65.81,East,14.74654378,107.6305221,48.71541502,70.89700997,10.65759637,219.8770492,22.68907563,216.7808219,50.07032349,150.8903468,51.20567376,178.7054409,47.14617169,99.68464207,54.77845352,88.57704182,37.50115666,141.6303593
10,Washington Virginia Vale,272600,2005,13030,61.42,East,17.46835443,82.25574713,41.65946413,90.90909091,10.03236246,104.4117647,20.70437567,183.2891247,20.50092764,88.06774442,44.12041392,60.96605744,44.00612792,63.69680851,43.84846212,55.28031291,30.29256104,91.10958134
11,Speer,337200,1999,10954,81.9,Central,20.37914692,158.4645669,26.28205128,296.4467005,33.60655738,210.0613497,25.30413625,154.8543689,69.21529175,118.8466112,47.15370019,157.6402321,41.61490683,67.78002699,41.17364117,68.85860307,38.09117897,154.1190574
12,Harvey Park,221600,1941,11525,35.32,Southwest,23.87706856,74.87277354,27.41652021,72.96551724,20.39555006,100.1026694,16.2962963,110.5095541,41.67242571,137.3170732,41.11709287,94.27753934,13.92832995,89.64391691,35.29642717,85.20023215,27.49996385,95.61115949
13,East Colfax,193600,1799,10191,32.37,East,14.93745401,39.62868118,25.7189811,71.04575163,19.02404526,78.0154486,32.50975293,56.77134446,9.196102314,84.55103179,25.86427657,88.60630722,52.59400286,59.73175296,47.01322389,77.85359801,28.35722987,69.52548948
14,Congress Park,463100,2440,10235,82.35,Central,34,74.51205511,10.85568327,154.7235023,22.88861689,107.0717131,33.37129841,95.73014518,41.87697161,97.72095609,48.98621249,120.3592814,37.5815572,57.57192539,29.36311001,75.03196931,32.36543123,97.84019349
15,Sunnyside,302600,2100,9726,34.15,Northwest,29.20469361,70.83753784,37.35294118,86.08137045,83.72591006,105.0699301,102.354049,72.17310377,95.94491201,70.98789535,97.82766112,72.43777452,46.94632943,88.70696893,30.41447752,110.2954342,65.47137174,84.57375189
16,Marston,220900,1939,11132,73.67,Southwest,23.09197652,166.8786433,51.10782866,132.3558162,28.03652968,268.1169757,35.89065256,232.8358209,26.29283489,248.1499753,26.68283808,247.1038775,14.48077614,178.0602637,25.84960231,139.2415972,28.92912985,201.5928712
17,Ruby Hill,181400,1836,9820,20.9,West,12.65182186,82.83917341,50.27700831,97.32718894,22.18597064,226.5687583,12.04620462,241.2371134,40.74605452,116.9215087,62.32014388,118.5595568,49.28842505,103.0823006,39.01549681,94.26229508,36.06639071,135.0997369
18,Bear Valley,265100,2108,8889,52.57,Southwest,28.35595777,62.92596945,43.42948718,46.53631285,12.70627063,129.7218155,13.25503356,107.4074074,46.85512367,159.5765159,62.57022472,124.2332613,14.36928702,118.5421995,25.45126354,101.6690647,30.87408101,106.3265683
19,University,344200,2176,9375,83.16,South,19.55947137,58.65880619,34.64351005,47.04684318,3.614457831,178.4883721,2.272727273,108.8888889,30.1985371,123.5152488,48.09081527,121.7421603,41.03343465,70.3817734,53.99239544,52.53772291,29.17566862,95.15747697
20,West Highland,409800,2312,8540,75.78,Northwest,32.5136612,155.9793814,38.92508143,120.5158265,67.13286713,161.566049,93.66391185,81.41299194,83.11499272,96.82034976,88.99929028,83.89034923,46.52014652,85.03571429,31.00198413,95.153351,60.23399191,110.0467516
21,North Park Hill,340000,2195,9382,43.56,North,8.816120907,74.30555556,10.34482759,83.97435897,25.38181818,120.7076566,36.43250689,105.0479556,23.53681561,99.08303617,35.29769137,49.25909295,54.50073783,67.43075454,41.95375177,93.08510638,29.53303377,86.61168959
22,West Colfax,272000,2035,9740,29.52,West,52.24586288,95.80745342,17.75956284,138.0510441,95.78783151,134.7410359,96.69211196,82.08279431,110.7495069,90.07955077,90.85972851,81.41299194,43.58833242,98.73514757,33.61702128,84.27547771,67.66249479,100.648187
23,Harvey Park South,253800,2093,8393,43.38,Southwest,30.11583012,54.0652819,25.59386973,53.99633923,15.87628866,163.4341637,13.95348837,139.6628217,47.38834217,158.1920904,64.56808199,145.9519573,13.19493315,106.9940939,24.42105263,87.42244783,29.38898585,113.7148995
24,Lowry Field,488400,2505,8067,73.84,East,17.97056545,68.61457649,20.54208274,69.9408284,23.72881356,123.5039654,28.77697842,129.8572315,11.35014837,107.0619587,20.13323464,104.4978435,46.67472793,86.01264084,41.39327663,80.52134059,26.32122847,96.25129818
25,Villa Park,160000,1737,8758,17,West,32.82442748,53.92720307,10.88235294,105.0397878,74.06962785,142.137931,86.36911942,113.592233,91.45936982,88.22000866,86.75958188,106.6697761,40.88080421,89.36459395,12.75351014,79.14216534,54.49984922,97.26171237
26,South Park Hill,506600,2561,8590,77.42,North,15.68825911,69.37882765,21.2565445,106.8221071,21.46985962,87.01563562,38.54660348,71.83580388,23.79713914,107.3004202,36.65389527,64.1588785,42.34790875,62.80467446,40.59496568,80.76171875,30.04439694,81.25975826
27,Highland,365000,2288,8429,57.42,Northwest,35.43165468,91.23505976,50.77951002,75.18463811,85.38461538,133.6099585,105.3511706,73.23561346,99.91326973,76.05206074,97.61513158,77.36163129,42.85714286,67.21991701,29.02675014,94.5743273,68.29490562,86.05915077
28,Cheesman Park,263200,1817,7971,82.15,Central,7.226890756,86.52037618,7.476635514,135.2173913,16.72683514,68.04123711,33.48017621,72.60726073,46.67201283,156.3149262,47.42676168,104.2964554,35.06435863,52.84258955,30.06423983,61.44221271,28.01723882,92.16030615
29,Athmar Park,181000,1825,8898,20.59,West,18.13063063,94.28026692,7.142857143,155.3216374,14.43914081,208.3420229,9.302325581,255.7670773,93.55123675,85.89685075,58.62989324,111.4413909,41.07883817,89.54248366,32.20574606,115.0718542,34.31008355,139.457948
30,Fort Logan,271700,2119,8532,63.44,Southwest,25.45454545,111.9286511,54.77707006,126.4917695,32.12487412,225.3810976,38.8996139,164.1417651,27.69830949,199.0835031,28.16901408,249.6503497,13.5442588,149.4364433,24.83005367,119.2318716,30.68721745,168.1681814
31,Hilltop,788600,3958,8190,84.19,East,18.79543094,103.6713287,34.80128894,120.2390438,18.43220339,158.4078712,29.08726179,153.2245532,21.43974961,125.8376289,39.17012448,101.9677996,35.94191206,63.02670623,41.21306376,71.83370044,29.86012937,112.276079
32,Northeast Park Hill,214100,1914,7822,13.53,Northeast,20.77493817,79.5221843,45.66831683,126.8479184,26.79975802,74.61832061,38.64468864,67.32716865,51.8543956,109.3622795,38.13387424,126.3338228,53.35480408,87.99439972,27.7607362,135.2541016,37.87393897,100.9075245
33,Berkeley,365500,2141,8112,68.85,Northwest,30.93434343,93.1533269,45.13788099,72.4,92.92214358,118.7106918,92.18213058,77.42512293,101.7621145,72.81659389,77.22328855,79.7833935,54.71360382,91.97840339,32.69339356,110.5531915,65.94611238,89.60259049
34,University Park,520800,2528,7491,83.47,South,47.3541384,95.48802947,49.63273872,55.89060309,11,480.1801802,38.41463415,89.42731278,29.27710843,139.0493942,52.92439372,163.8992537,42.92612265,116.5540541,56.22988506,65.30311948,40.96987764,150.7239934
35,Sloan Lake,395700,2341,7238,59.05,Northwest,31.72690763,127.7439024,15.23545706,109.8557692,67.04545455,139.5176252,77.53424658,99.1255144,82.32662192,92.63803681,78.854314,103.5982602,40.03028773,78.04614275,29.23003802,84.99448327,52.74791594,104.4399668
36,Elyria Swansea,127500,1653,6401,8.81,North,45.65868263,48.20143885,64.77462437,101.8237082,85.63411897,84.82466747,107.0813397,56.33086876,47.26688103,109.3449782,98.09384164,82.93856403,46.66234608,102.386213,32.85632513,119.8190435,66.00351995,88.20868525
37,Washington Park,626300,2744,6905,92.05,South,19.78545888,123.5820896,48.13384813,109.556907,9.319899244,170.0460829,2.696629213,181.619256,60.4679803,140.0613968,47.67879548,151.5717927,42.97207761,104.3694141,40.70441373,82.06590621,33.96988782,132.8591057
38,Washington Park West,490400,2496,6393,88,South,23.22206096,96.58421673,31.97278912,119.4587629,11.93181818,298.4771574,17.91590494,254.2635659,80.84606345,88.49902534,49.45978391,134.1365462,44.51158107,68.18815331,36.77510608,89.17614616,37.07938846,143.5979467
39,College View - South Platte,167500,1791,6498,18.9,South,14.10488246,91.44215531,45.98997494,93.21888412,20.78651685,168.8372093,14.25891182,183.4154351,60.42372881,145.6418384,45.9057072,120.0680272,46.9901168,83.80195599,37.92951542,97.7004152,35.79866929,123.0157401
40,Hale,355300,2063,6936,73.99,East,22.63513514,101.4692378,20.13574661,122.1280603,17.74193548,133.6019339,36.01496726,102.2008253,35.07462687,121.4917127,35.49316055,121.3071201,39.19282511,67.33247423,44.48336252,71.78787879,31.34646994,105.1649054
41,University Hills,291100,2044,5327,82.15,South,50.80558539,83.54700855,110.3971963,39.25596891,4.22832981,192.2920892,31.69811321,218.4813754,6.613756614,127.0471464,56.24012638,83.9231547,43.33627538,96.18226601,56.22852234,62.16662084,44.94348817,112.8619538
42,Whittier,334500,2263,4831,41.71,North,15.93264249,99.32960894,7.448275862,103.2092426,11.56462585,67.22560976,38.57257418,47.39583333,34.61055276,114.3257116,49.18851436,106.5690377,39.94708995,84.68809074,28.73326468,93.32,28.24969252,89.50789183
43,Lincoln Park,239500,1871,6119,41.15,Central,31.97492163,42.04275534,3.191489362,133.3333333,20.8047105,30.46303818,42.87234043,11.61578555,48.43081312,18.50072081,90.56429232,21.84466019,42.74553571,67.27912432,31.63636364,60.73401736,39.02755834,48.22667939
44,Montclair,358800,2141,5456,77.8,East,20.79927339,88.04511278,20.14652015,112.195122,28.41201717,71.39037433,26.43207856,138.2524272,10.37991859,79.16410572,39.38280676,73.27358988,50.19710907,60.42578011,47.91397849,73.42250654,30.45796277,87.02112731
45,Barnum,157300,1725,6111,18.02,West,56.62431942,117.3812283,33.33333333,153.9800995,96.66136725,169.2805174,40.04044489,151.3357401,111.4770459,109.0608778,76.77806341,115.5113912,45.83554377,105.638414,37.73493976,74.21273618,62.31063222,124.5501255
46,North Capitol Hill,328200,2048,5823,73.55,Central,7.2319202,130.9302326,9.067357513,100.9501188,17.22532588,124.3844321,33.64806867,120.7450225,44.13177763,80.66666667,44.92440605,92.30004968,39.98025666,41.36107193,29.43969611,57.41012472,28.20610109,93.59346486
47,Cherry Creek,686500,3045,5589,87.6,Central,24.03598972,112.2279793,32.27931489,117.9282869,16.95979899,89.25886144,35.00611995,82.50226655,38.59496964,147.747184,47.95918367,141.8965517,39.14141414,62.61343013,38.95207149,62.32095878,34.11610781,102.0619398
48,Platt Park,419000,2421,5393,88.6,South,23.83939774,85.41033435,34.38356164,88.27726809,17.94871795,246.8944099,10.20408163,235.8024691,90.74315515,86.87628161,50.74971165,110.6350421,44.49339207,84.21409214,42.77726002,90.95953003,39.39240973,128.6336784
49,Baker,337500,2095,4879,58.5,Central,8.47145488,138.2003396,4.952380952,154.446461,60.16806723,107.4501574,55.10887772,109.1792657,91.52892562,53.02049622,65.21264995,94.58745875,42.64471588,64.44527178,34.00590551,82.298935,45.26162222,100.4535482
50,Goldsmith,333900,2139,5808,52.39,Southeast,60.17699115,91.85082873,45.38216561,33.24205915,39.13824057,79.87096774,48.14814815,69.89130435,35.5799373,174.7976879,55.36547434,77.17717718,46.89593569,109.2733354,55.3548929,72.53311706,48.25522321,88.57955968
51,Barnum West,172900,1774,5376,21.41,West,50.23923445,109.5541401,50.35087719,153.3255543,85.67375887,137.4331551,37.24584104,174.8148148,102.2263451,120,46.64764622,129.2801556,43.90617032,103.7916371,14.70707071,79.92250793,53.87461798,126.0152456
52,Cole,246300,2007,4651,19.59,North,16.1038961,99.32885906,19.92753623,73.31319235,13.04347826,62.98076923,37.17854519,45.74183182,33.50938967,108.7472527,47.31934732,84.81012658,41.33858268,91.92200557,29.3989071,119.6790541,29.72746032,85.81538643
53,Belcaro,768200,3259,4172,90.51,East,19.76744186,165.2642934,50.06784261,123.1464738,9.772727273,134.989648,41.58415842,87.83216783,58.01169591,128.7934863,58.13953488,148.0882353,40.42941983,78.39947951,53.69816161,72.01668985,41.4338728,117.3163093
54,Clayton,222500,1955,4336,16.12,North,17.36111111,71.59763314,20.44692737,80.89053803,13.3989402,86.64886515,37.42732558,67.9005817,32.41220495,97.65217391,47.31369151,73.21568627,45.87107086,74.6165084,43.56178609,88.57142857,32.22413221,80.1366769
55,Southmoor Park,395100,2336,3826,82.85,Southeast,56,77.41147741,50.84602369,62.03028603,29.06815021,102.8017241,56.01317957,166.2090813,4.016064257,193.6293436,13.58024691,131.0559006,46.47651007,89.00343643,54.84544695,63.23172377,38.85570271,110.6716217
56,Union Station,466300,2348,4348,81.35,Central,14.2384106,101.7391304,67.47572816,116.8115942,79.54847278,85.28106509,114.8648649,29.04516867,97.06927176,38.84632717,103.5304501,41.71725932,44.3577431,34.84407484,27.95341098,41.17902037,68.62979405,61.18295501
57,City Park West,359100,2198,4844,61.54,Central,10.09615385,85.15283843,8.103448276,86.60287081,11.56186613,66.27272727,16.31493506,58.75785066,39.30099857,140.1945725,51.9047619,110.031348,41.06090373,51.46239554,28.9025544,74.01834862,25.90570274,84.06161897
58,Regis,274700,2072,3934,63.45,Northwest,69.68503937,116.3186388,62.62295082,163.8104839,97.86585366,117.7195686,106.0606061,146.1397059,105.1584377,106.8247126,100.0727273,100.9087605,37.77253978,117.5791275,26.29757785,81.96347032,75.69196657,118.9080585
59,Kennedy,,,4464,35.55,Southeast,45.02840909,55.87659158,41.96923077,44.60338101,33.42995169,113.9753802,39.52380952,108.2593857,7.66590389,189.3730074,17.19512195,183.4547347,56.41539695,100.7177647,52.70633397,66.84263449,36.74176973,107.88786
60,Chaffee Park,205600,1833,3874,30.82,Northwest,23.91799544,100.8272059,61.63410302,114.8351648,89.04709748,164.774044,107.234886,82.4964132,99.9222395,91.20964605,101.4307229,83.55140187,49.625,99.45697577,27.1519353,121.6265334,69.99549746,107.3471731
61,Cory - Merrill,449400,2448,3892,88.39,East,17.05882353,127.8894472,42.57731959,99.06001446,13.51351351,299.4708995,23.64130435,244.6153846,46.67535854,150.0444444,48.01536492,215.0519031,41.42394822,111.4416476,51.30588756,98.47864248,35.52644003,168.2565479
62,Valverde,145500,1674,3941,15.05,West,34.58083832,96.44048943,6.095791001,202.872777,89.44365193,84.93975904,44.82323232,178.2040105,104.5623836,62.58534365,55.03597122,129.2923434,45.52887072,93.67977528,36.98564593,95.84352078,52.13204813,117.9822524
63,Globeville,136900,1684,3687,25.77,North,31.24215809,75.14340344,55.51839465,113.655914,67.81157998,143.0409357,102.0114943,100.8534851,83.54885057,118.3170254,97.57887014,91.49647234,43.19387154,128.7242798,31.22142391,114.7834744,64.01583039,110.7518738
64,Wellshire,616200,2797,3133,91.32,South,40.31311155,59.20502092,40.87893864,41.25956445,15.97633136,148.7244898,20.93663912,165.1480638,28.94375857,152.6595745,47.53476612,130.848329,39.00679117,93.70992366,52.4149517,54.61559658,35.75066103,105.7713203
65,CBD,322000,2076,3648,75.22,Central,24.56140351,31.69014085,8.024691358,98.28571429,20.63655031,83.57446809,33.30411919,39.11900066,49.66838615,48.54751354,83.56964137,37.98273512,42.44004171,10.68814056,30.15173764,36.40466341,36.5445714,48.28654706
66,Indian Creek,182300,1749,3096,72.93,East,26.23318386,87.15216104,42.55975328,88.20984316,32.94270833,168.2664055,43.18706697,125.9677419,10.85427136,105.0770626,16.76954733,113.0396476,45.49066349,91.01583834,51.45228216,53.25031133,33.6861846,103.9973764
67,Skyland,291300,2104,3106,28.4,North,7.970244421,133.5629921,11.28848347,119.4672131,11.31000814,85.45321637,39.61196443,81.99189346,37.94808405,116.9354839,50.06281407,133.8635412,44.50689831,66.37199434,43.64556962,88.47373987,30.79300831,103.2650093
68,Country Club,898900,4337,3001,91.3,Central,29.76939203,140.2261712,37.52711497,187.5394322,20.52173913,50.79365079,37.99705449,44.61045891,57.01311806,92.86632391,53.86847195,174.4814582,40.28610983,58.38815789,42.90843806,56.59547739,39.98642982,100.6876413
69,City Park,415600,2350,2907,75.06,Central,6.232813932,54.61604832,9.383145091,63.30420969,8.887283237,64.63171865,33.71777476,41.50177575,28.16666667,108.4525358,43.88042865,97.64798118,32.09930314,57.99538411,24.12371134,86.34551495,23.31139085,71.81189605
70,Rosedale,345100,2207,2553,83.98,South,21.19958635,92.66211604,33.92857143,99.75,20.74074074,332.5153374,11.42857143,234.4729345,28.96749522,115.0481838,52.01612903,107.5596817,41.16583823,104.737516,41.56574394,87.83990223,31.37658455,146.823209
71,Jefferson Park,332200,2241,2552,38.83,Northwest,38.23529412,223.4042553,51.66163142,138.8446215,102.3688663,164.0468227,120.2666667,131.9007264,116.3900415,92.61744966,106.728972,93.21880651,45.57356608,87.15203426,33.11688312,98.80266075,76.79274015,128.7484221
72,Overland,216700,1844,2218,60.28,South,13.60887097,49.60070985,50.36818851,70.12732615,22.32779097,102.9126214,13.3192389,103.7313433,66.79174484,91.1136108,62.61682243,113.9655172,49.81060606,71.52338812,39.14458391,95.48947544,39.74848083,87.30799903
73,Civic Center,387000,2182,1577,78,Central,21.62162162,197.3333333,3.947368421,230.3797468,20.92511013,127.7777778,22.21135029,134.9079263,51.43299768,76.98209719,39.15470494,127.3352436,42.4,52.54681648,29.25784967,55.64961354,28.86887534,125.3640694
74,Sun Valley,,,1448,7.67,West,13.28413284,72.63843648,0.210084034,99.79035639,93.99350649,115.3138075,79.92227979,134.3412527,110.9201213,76.84563758,79.10174152,94.62640737,42.46344207,81.16857481,33.26381648,87.98904538,56.64489057,95.33918978
75,Stapleton,470500,2605,13948,69.67,Northeast,23.07110439,111.0018439,85.88621444,73.33725721,15.11273614,126.3631551,35.37338574,108.0879303,10.01070664,91.63017032,37.86191537,133.8718363,70.53475936,64.37754782,48.59267127,86.91922802,40.80543667,99.44862112
76,DIA,142000,1694,1165,43.26,Northeast,54.19161677,11.13268608,64.83931947,31.57492355,39.98105163,58.88324873,40.74273412,81.56787763,32.28014745,65.00796178,29.1460396,175.9463345,15.99353796,59.36629526,5.164514786,48.3960396,35.29237022,66.48442089
77,Auraria,,,705,78.72,Northwest,27.24550898,46.82352941,8.960573477,104.6052632,83.1625183,68.34532374,92.3566879,34.76821192,101.9886364,39.05297703,87.86231884,46.8659595,41.44699944,70.69785884,30.74948665,67.64821358,59.22159124,59.85091715
